key,code,moment,start,finish,amount,type,email,link,key:project,key:sponsor
sponsorships-20,CBA-200,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,999999 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-21,CBA-210,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,1000000 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-22,CBA-220,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-23,CBA-230,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,InKind,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-24,CBA-240,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,a@alum.us.es,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-25,CBA-250,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,al@alum.us.es,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-26,CBA-260,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,davvarmun1@gmail.es,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-27,CBA-270,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,davvarmun1@gmail.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-28,CBA-280,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,davvarmun1@hotmail.es,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-29,CBA-290,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,davvarmun1@hotmail.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-30,CBA-300,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,davvarmun1@yahoo.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-31,CBA-310,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,davvarmun1@yahoo.es,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-32,CBA-320,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,davvarmun1@outlook.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-33,CBA-330,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,davvarmun1@outlook.es,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-34,CBA-340,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,davvarmun1@a.us.es,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-35,CBA-350,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,davvarmun1@a.es,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-36,CBA-360,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,davvarmun1@a.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-37,CBA-370,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,alevarmun1Con64CaracteresAntesDeLaArroba------------------------@alum.us.es,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-38,CBA-380,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,alevarmunCon64CaracteresAntesDeLaArroba-------------------------@gmailCon63CaracteresDespuesDeLaArrobaYAntesDelPuntooooooooooooo.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-39,CBA-390,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,alevarmunCon64CaracteresAntesDeLaArroba-------------------------@gmailCon63CaracteresDespuesDeLaArrobaYAntesDelPuntooooooooooooo.comCon56CaracteresDespuesDelPuntoooooooooooooooooooooooo,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-40,CBA-400,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,78@12.36,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-41,CBA-410,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,78@12.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-42,CBA-420,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,alevarmunCon64CaracteresAntesDeLaArroba-------------------------@gmailCon62CaracteresDespuesDeLaArrobaYAntesDelPuntoooooooooooo.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-43,CBA-430,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,davguiferCon64CaracteresAntesDeLaArroba-------------------------@gmailCon63CaracteresDespuesDeLaArrobaYAntesDelPuntooooooooooooo.comCon55CaracteresDespuesDelPuntooooooooooooooooooooooo,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-44,CBA-440,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,a@a.a,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-45,CBA-450,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,trainingModule@acmesf.com,,project-01,sponsor-01
sponsorships-46,CBA-460,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,trainingModule@acmesf.com,ftp://ftp.example.org1,project-01,sponsor-01
sponsorships-47,CBA-470,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,trainingModule@acmesf.com,http://AcmeJobCon255Caracteres---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,project-01,sponsor-01
sponsorships-48,CBA-480,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,trainingModule@acmesf.com,http://AcmeJobCon255Caracteres--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,project-01,sponsor-01
sponsorships-49,CBA-490,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,trainingModule@acmesf.com,http://example.com/page?param1=value1&param2=value2,project-01,sponsor-01
sponsorships-50,CBA-500,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,trainingModule@acmesf.com,http://example.org/api?key=123456789&format=json,project-01,sponsor-01
sponsorships-51,CBA-510,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,trainingModule@acmesf.com,ftp://ftp.example.com/file.txt?user=username&password=12345,project-01,sponsor-01
sponsorships-52,CBA-520,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,trainingModule@acmesf.com,http://AcmeSF,project-01,sponsor-01
