key,code,instantiationMoment,heading,description,department,email,link,published
claim-27,C-1264,2020/02/20 15:00,Heading,Description,你好,davguifer@alum.us.es,http://AcmeJob,false
claim-28,C-1267,2020/02/20 15:00,Heading,Description,<h2>Hola</h2>,davguifer@alum.us.es,http://AcmeJob,false
claim-29,C-1268,2020/02/20 15:00,Heading,Description,'OR '5'='5,davguifer@alum.us.es,http://AcmeJob,false
claim-30,C-1269,2020/02/20 15:00,Heading,Description,Department,d@alum.us.es,http://AcmeJob,false
claim-31,C-1270,2020/02/20 15:00,Heading,Description,Department,da@alum.us.es,http://AcmeJob,false
claim-32,C-1271,2020/02/20 15:00,Heading,Description,Department,davguifer@gmail.es,http://AcmeJob,false
claim-33,C-1272,2020/02/20 15:00,Heading,Description,Department,davguifer@gmail.com,http://AcmeJob,false
claim-34,C-1273,2020/02/20 15:00,Heading,Description,Department,davguifer@hotmail.es,http://AcmeJob,false
claim-35,C-1274,2020/02/20 15:00,Heading,Description,Department,davguifer@hotmail.com,http://AcmeJob,false
claim-36,C-1275,2020/02/20 15:00,Heading,Description,Department,davguifer@yahoo.com,http://AcmeJob,false
claim-37,C-1276,2020/02/20 15:00,Heading,Description,Department,davguifer@yahoo.es,http://AcmeJob,false
claim-38,C-1277,2020/02/20 15:00,Heading,Description,Department,davguifer@outlook.com,http://AcmeJob,false
claim-39,C-1278,2020/02/20 15:00,Heading,Description,Department,davguifer@outlook.es,http://AcmeJob,false
claim-40,C-1279,2020/02/20 15:00,Heading,Description,Department,davguifer@a.us.es,http://AcmeJob,false
claim-41,C-1280,2020/02/20 15:00,Heading,Description,Department,davguifer@a.es,http://AcmeJob,false
claim-42,C-1281,2020/02/20 15:00,Heading,Description,Department,davguifer@a.com,http://AcmeJob,false
claim-43,C-1282,2020/02/20 15:00,Heading,Description,Department,davguiferCon64CaracteresAntesDeLaArroba-------------------------@alum.us.es,http://AcmeJob,false
claim-44,C-1283,2020/02/20 15:00,Heading,Description,Department,davguiferCon63CaracteresAntesDeLaArroba-------------------------@alum.us.es,http://AcmeJob,false
claim-45,C-1284,2020/02/20 15:00,Heading,Description,Department,davguiferCon24Caracteres@a.a,http://AcmeJob,false
claim-46,C-1285,2020/02/20 15:00,Heading,Description,Department,davguiferCon24Caracteres@alum.us.es,http://AcmeJob,false
claim-47,C-1286,2020/02/20 15:00,Heading,Description,Department,davguiferCon24Caracteres@gmail.es,http://AcmeJob,false
claim-48,C-1287,2020/02/20 15:00,Heading,Description,Department,davguiferCon64CaracteresAntesDeLaArroba-------------------------@gmailCon63CaracteresDespuesDeLaArrobaYAntesDelPuntooooooooooooo.com,http://AcmeJob,false
claim-49,C-1288,2020/02/20 15:00,Heading,Description,Department,davguiferCon64CaracteresAntesDeLaArroba-------------------------@gmailCon63CaracteresDespuesDeLaArrobaYAntesDelPuntooooooooooooo.comCon56CaracteresDespuesDelPuntoooooooooooooooooooooooo,http://AcmeJob,false
claim-50,C-1289,2020/02/20 15:00,Heading,Description,Department,55@89.78,http://AcmeJob,false
claim-51,C-1290,2020/02/20 15:00,Heading,Description,Department,55@89.com,http://AcmeJob,false
claim-52,C-1291,2020/02/20 15:00,Heading,Description,Department,davguiferCon64CaracteresAntesDeLaArroba-------------------------@gmailCon62CaracteresDespuesDeLaArrobaYAntesDelPuntoooooooooooo.com,http://AcmeJob,false
claim-53,C-1292,2020/02/20 15:00,Heading,Description,Department,davguiferCon64CaracteresAntesDeLaArroba-------------------------@gmailCon63CaracteresDespuesDeLaArrobaYAntesDelPuntooooooooooooo.comCon55CaracteresDespuesDelPuntooooooooooooooooooooooo,http://AcmeJob,false
claim-54,C-1293,2020/02/20 15:00,Heading,Description,Department,a@a.a,http://AcmeJob,false
claim-55,C-1294,2020/02/20 15:00,Heading,Description,Department,davguifer@alum.us.es,,false
claim-56,C-1299,2020/02/20 15:00,Heading,Description,Department,davguifer@alum.us.es,ftp://ftp.example.org1,false
claim-57,C-1295,2020/02/20 15:00,Heading,Description,Department,davguifer@alum.us.es,http://AcmeJobCon255Caracteres---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,false
claim-58,C-1296,2020/02/20 15:00,Heading,Description,Department,davguifer@alum.us.es,http://AcmeJobCon254Caracteres--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,false
claim-59,C-1297,2020/02/20 15:00,Heading,Description,Department,davguifer@alum.us.es,http://example.com/page?param1=value1&param2=value2,false
claim-60,C-1298,2020/02/20 15:00,Heading,Description,Department,davguifer@alum.us.es,http://example.org/api?key=123456789&format=json,false
claim-61,C-1305,2020/02/20 15:00,Heading,Description,Department,davguifer@alum.us.es,ftp://ftp.example.com/file.txt?user=username&password=12345,false
claim-62,C-1301,2020/02/20 15:00,Heading,Description,Departmentdavguifer@alum.us.es,,http://AcmeJob,true
claim-63,C-1302,2020/02/20 15:00,Heading,Description,Department,davguifer@alum.us.es,http://AcmeJob,false
